learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,5,0.201,0.881,1,0.894226,0
3,10,0,0.215,0.875,1,0.903046,0
3,10,3,0.215,0.875,1,0.22583,1
4,13,11,0.229,0.865,1,0.930389,6
5,9,0,0.22,0.871,1,0.12619,6
5,9,2,0.22,0.871,1,0.277679,9
5,9,5,0.22,0.871,1,0.117798,4
6,19,1,0.22,0.863,1,0.064941,4
6,19,2,0.22,0.863,1,0.022583,0
6,19,4,0.22,0.863,1,0.454285,6
6,19,6,0.22,0.863,1,0.410919,2
6,19,11,0.22,0.863,1,0.149811,3
7,8,6,0.209,0.866,1,0.397949,6
7,8,7,0.209,0.866,1,0.100189,2
8,10,1,0.223,0.887,1,0.178101,3
8,10,3,0.223,0.887,1,0.857208,2
8,10,8,0.223,0.887,1,0.480347,6
8,10,9,0.223,0.887,1,0.195618,7
9,13,1,0.199,0.871,1,0.023346,2
10,7,5,0.2,0.876,1,0.373077,0
12,19,1,0.221,0.877,1,0.47937,0
12,19,4,0.221,0.877,1,0.100769,3
12,19,5,0.221,0.877,1,0.538666,7
12,19,7,0.221,0.877,1,0.779022,5
12,19,8,0.221,0.877,1,0.69754,8
12,19,10,0.221,0.877,1,0.103271,9
12,19,12,0.221,0.877,1,0.729919,4
12,19,16,0.221,0.877,1,0.39447,1
13,8,5,0.232,0.87,1,0.626465,5
14,7,0,0.219,0.871,1,0.31488,6
15,15,7,0.218,0.879,1,0.012817,7
15,15,12,0.218,0.879,1,0.722382,1
15,15,14,0.218,0.879,1,0.855804,0
16,8,1,0.201,0.854,1,0.972168,0
16,8,7,0.201,0.854,1,0.383972,3
17,16,10,0.22,0.885,1,0.358398,0
18,10,0,0.213,0.871,1,0.521301,0
18,10,3,0.213,0.871,1,0.953888,3
18,10,5,0.213,0.871,1,0.81488,8
19,5,4,0.203,0.874,1,0.953552,7
20,16,2,0.203,0.875,1,0.639648,7
20,16,7,0.203,0.875,1,0.890808,5
21,6,1,0.224,0.868,1,0.388397,5
21,6,4,0.224,0.868,1,0.420746,8
22,11,3,0.213,0.886,1,0.166687,5
22,11,5,0.213,0.886,1,0.285767,7
24,12,3,0.204,0.882,1,0.346832,4
24,12,7,0.204,0.882,1,0.074371,7
24,12,9,0.204,0.882,1,0.635468,6
25,15,0,0.222,0.878,1,0.84082,9
25,15,2,0.222,0.878,1,0.575195,4
25,15,7,0.222,0.878,1,0.056305,5
26,20,13,0.21,0.877,1,0.932068,5
26,20,16,0.21,0.877,1,0.20694,8
27,10,1,0.197,0.884,1,0.392242,9
27,10,3,0.197,0.884,1,0.378601,8
28,20,6,0.222,0.858,1,0.263916,9
29,20,0,0.225,0.848,1,0.189117,9
29,20,1,0.225,0.848,1,0.691345,8
29,20,2,0.225,0.848,1,0.753143,0
29,20,11,0.225,0.848,1,0.494598,4
29,20,12,0.225,0.848,1,0.616547,3
29,20,16,0.225,0.848,1,0.555359,6
29,20,17,0.225,0.848,1,0.116974,2
30,13,3,0.214,0.883,1,0.66571,9
30,13,12,0.214,0.883,1,0.031342,4
32,15,1,0.224,0.892,1,0.931122,5
32,15,3,0.224,0.892,1,0.317719,8
32,15,8,0.224,0.892,1,0.358398,3
32,15,9,0.224,0.892,1,0.812714,7
33,22,0,0.215,0.885,1,0.793182,8
33,22,3,0.215,0.885,1,0.464355,3
33,22,12,0.215,0.885,1,0.461975,9
33,22,19,0.215,0.885,1,0.595703,0
33,22,20,0.215,0.885,1,0.91037,5
35,23,4,0.211,0.883,1,0.652222,0
35,23,5,0.211,0.883,1,0.764282,3
35,23,18,0.211,0.883,1,0.061829,7
36,19,4,0.226,0.864,1,0.751129,5
36,19,5,0.226,0.864,1,0.899628,8
36,19,16,0.226,0.864,1,0.020782,3
37,9,2,0.204,0.862,1,0.604492,5
37,9,3,0.204,0.862,1,0.343201,8
37,9,4,0.204,0.862,1,0.528351,2
38,27,1,0.186,0.87,1,0.856476,0
38,27,4,0.186,0.87,1,0.640747,5
38,27,17,0.186,0.87,1,0.836884,8
38,27,20,0.186,0.87,1,0.620026,7
38,27,23,0.186,0.87,1,0.763458,4
39,5,3,0.233,0.878,1,0.931824,5
41,17,0,0.222,0.866,1,0.436523,5
41,17,3,0.222,0.866,1,0.686462,4
41,17,11,0.222,0.866,1,0.19455,0
43,19,9,0.208,0.866,1,0.159302,0
43,19,15,0.208,0.866,1,0.695953,3
43,19,18,0.208,0.866,1,0.654144,5
44,18,1,0.229,0.874,1,0.823456,7
44,18,2,0.229,0.874,1,0.175781,1
44,18,3,0.229,0.874,1,0.660004,6
44,18,5,0.229,0.874,1,0.269897,5
44,18,6,0.229,0.874,1,0.725861,3
44,18,10,0.229,0.874,1,0.975616,0
44,18,15,0.229,0.874,1,0.843689,9
45,23,2,0.212,0.857,1,0.913635,0
45,23,13,0.212,0.857,1,0.245514,4
45,23,17,0.212,0.857,1,0.193726,9
45,23,20,0.212,0.857,1,0.912354,8
45,23,22,0.212,0.857,1,0.667847,6
46,15,3,0.215,0.874,1,0.474854,9
46,15,8,0.215,0.874,1,0.19342,4
47,10,0,0.204,0.889,1,0.745117,4
47,10,1,0.204,0.889,1,0.260925,5
48,11,4,0.235,0.876,1,0.083984,5
48,11,7,0.235,0.876,1,0.728333,8
48,11,8,0.235,0.876,1,0.12088,3
48,11,10,0.235,0.876,1,0.589447,9
49,29,0,0.196,0.879,1,0.953094,0
49,29,13,0.196,0.879,1,0.679779,9
49,29,18,0.196,0.879,1,0.81665,4
49,29,25,0.196,0.879,1,0.943268,6
49,29,27,0.196,0.879,1,0.327118,8
50,11,3,0.227,0.872,1,0.151031,4
51,2,0,0.229,0.874,1,0.601044,4
52,16,2,0.214,0.861,1,0.917694,4
