learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
1,4,3,0,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.72760728
1,4,3,1,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.690750328
1,4,3,2,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.660403114
1,4,3,3,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.743313994
1,4,3,4,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.544392062
1,4,3,5,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.739717857
1,4,3,6,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.50527514
1,4,3,7,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.735258086
1,4,3,8,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.735280301
1,4,3,9,0.238,0.877,1,0.106201172,0.171295166,0.625091553,4,0.685174738
2,8,3,0,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.857429212
2,8,3,1,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.837288001
2,8,3,2,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.644298977
2,8,3,3,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.747133716
2,8,3,4,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.751631314
2,8,3,5,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.664380131
2,8,3,6,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.722880396
2,8,3,7,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.641295615
2,8,3,8,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.680177939
2,8,3,9,0.201,0.881,1,0.071472168,0.009155273,0.714294434,4,0.838766264
2,8,5,0,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.451107326
2,8,5,1,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.477893672
2,8,5,2,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.411746375
2,8,5,3,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.380252864
2,8,5,4,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.581423595
2,8,5,5,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.342472208
2,8,5,6,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.606165058
2,8,5,7,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.335389722
2,8,5,8,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.354808669
2,8,5,9,0.201,0.881,1,0.145111084,0.141876221,0.62701416,0,0.484208394
2,8,7,0,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.475553663
2,8,7,1,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.488946836
2,8,7,2,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.455873187
2,8,7,3,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.440126432
2,8,7,4,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.540711798
2,8,7,5,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.421236104
2,8,7,6,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.553082529
2,8,7,7,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.417694861
2,8,7,8,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.427404334
2,8,7,9,0.201,0.881,1,0.18069458,0.399139404,0.094024658,2,0.492104197
3,10,0,0,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.487776832
3,10,0,1,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.494473418
3,10,0,2,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.477936594
3,10,0,3,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.470063216
3,10,0,4,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.520355899
3,10,0,5,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.460618052
3,10,0,6,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.526541264
3,10,0,7,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.45884743
3,10,0,8,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.463702167
3,10,0,9,0.215,0.875,1,0.122955322,0.866729736,0.555114746,2,0.496052099
3,10,1,0,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.445542388
3,10,1,1,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.261373604
3,10,1,2,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.245293294
3,10,1,3,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.300459464
3,10,1,4,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.499012617
3,10,1,5,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.236502897
3,10,1,6,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.307488467
3,10,1,7,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.252532035
3,10,1,8,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.257564123
3,10,1,9,0.215,0.875,1,0.21182251,0.46206665,0.780914307,0,0.415094768
3,10,3,0,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.700378474
3,10,3,1,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.57143713
3,10,3,2,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.533049761
3,10,3,3,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.643543726
3,10,3,4,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.54389837
3,10,3,5,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.607969306
3,10,3,6,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.409019374
3,10,3,7,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.611524104
3,10,3,8,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.614062362
3,10,3,9,0.215,0.875,1,0.022583008,0.66015625,0.250061035,4,0.642722122
3,10,8,0,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.79916836
3,10,8,1,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.728894745
3,10,8,2,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.549118333
3,10,8,3,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.639054431
3,10,8,4,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.686162412
3,10,8,5,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.576424604
3,10,8,6,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.604012372
3,10,8,7,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.567621969
3,10,8,8,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.588805174
3,10,8,9,0.215,0.875,1,0.071289063,0.545898438,0.479400635,3,0.781023097
4,13,8,0,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.895945764
4,13,8,1,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.697320364
4,13,8,2,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.583110051
4,13,8,3,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.650749541
4,13,8,4,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.83771186
4,13,8,5,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.758411196
4,13,8,6,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.768227097
4,13,8,7,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.763934867
4,13,8,8,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.789133524
4,13,8,9,0.229,0.865,1,0.02041626,0.597686768,0.240936279,4,0.835959928
5,9,4,0,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.925580162
5,9,4,1,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.78941051
5,9,4,2,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.701958139
5,9,4,3,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.818688765
5,9,4,4,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.713247992
5,9,4,5,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.868923455
5,9,4,6,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.639388689
5,9,4,7,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.867225519
5,9,4,8,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.879847063
5,9,4,9,0.22,0.871,1,0.111572266,0.007659912,0.1277771,4,0.853154702
5,9,5,0,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.919228233
5,9,5,1,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.783821947
5,9,5,2,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.832495005
5,9,5,3,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.691276902
5,9,5,4,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.833211042
5,9,5,5,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.896512404
5,9,5,6,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.788344549
5,9,5,7,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.923583827
5,9,5,8,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.841872358
5,9,5,9,0.22,0.871,1,0.01739502,0.194274902,0.223876953,4,0.712332383
5,9,8,0,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.52663233
5,9,8,1,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.452489949
5,9,8,2,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.46836596
5,9,8,3,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.45600106
5,9,8,4,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.47692144
5,9,8,5,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.641064532
5,9,8,6,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.438776564
5,9,8,7,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.546503829
5,9,8,8,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.575993812
5,9,8,9,0.22,0.871,1,0.013885498,0.868927002,0.238311768,1,0.452004641
6,19,5,0,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.416385034
6,19,5,1,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.292882286
6,19,5,2,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.396120645
6,19,5,3,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.336255047
6,19,5,4,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.276420034
6,19,5,5,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.510356038
6,19,5,6,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.310404915
6,19,5,7,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.347838339
6,19,5,8,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.491122615
6,19,5,9,0.22,0.863,1,0.049468994,0.222839355,0.441894531,1,0.298416934
6,19,7,0,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.326201554
6,19,7,1,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.320457211
6,19,7,2,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.279974464
6,19,7,3,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.402095605
6,19,7,4,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.228925652
6,19,7,5,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.366553065
6,19,7,6,0.22,0.863,1,0.008789063,0.696929932,0.715942383,1,0.257947764
